211, 36, 27
220, 37, 28
224, 35, 27
226, 39, 29
232, 37, 27
249, 39, 29
232, 37, 27
231, 40, 30
236, 40, 28
230, 39, 29
230, 39, 29
229, 38, 30
227, 35, 26
224, 36, 27
225, 37, 26
24, 53, 71
25, 54, 70
17, 37, 53
19, 43, 59
0, 0, 0
18, 41, 58
18, 41, 58
21, 44, 60
0, 0, 0
18, 40, 57
0, 0, 0
3, 24, 0
1, 21, 44
16, 29, 45
12, 26, 41
12, 27, 41
14, 29, 43
13, 28, 41
13, 28, 43
0, 0, 0
47, 36, 52
45, 34, 50
40, 29, 46
42, 30, 46
44, 33, 49
46, 33, 49
44, 32, 47
45, 34, 50
43, 31, 47
44, 31, 48
43, 32, 49
42, 30, 48
45, 32, 48
42, 30, 47
42, 31, 47
41, 30, 47
42, 31, 48
41, 29, 46
